iter	Passed	Remaining
0	5	1673
1	11	1749
2	17	1692
3	22	1642
4	27	1641
5	30	1480
6	35	1472
7	40	1463
8	44	1446
9	49	1438
10	54	1435
11	59	1430
12	64	1422
13	68	1405
14	74	1418
15	79	1406
16	82	1368
17	87	1372
18	91	1346
19	93	1312
20	98	1302
21	99	1261
22	104	1258
23	109	1263
24	114	1256
25	116	1228
26	121	1230
27	122	1189
28	127	1195
29	133	1198
30	139	1206
31	146	1223
32	150	1221
33	155	1216
34	157	1195
35	162	1190
36	166	1183
37	171	1179
38	175	1175
39	179	1169
40	184	1165
41	185	1139
42	191	1141
43	195	1138
44	200	1136
45	206	1138
46	211	1136
47	216	1135
48	221	1133
49	222	1110
50	226	1107
51	233	1111
52	238	1109
53	243	1109
54	249	1110
55	254	1107
56	259	1105
57	265	1108
58	270	1103
59	274	1097
60	278	1091
61	284	1091
62	288	1084
63	293	1080
64	299	1081
65	303	1075
66	308	1071
67	313	1068
68	317	1063
69	318	1047
70	323	1042
71	327	1036
72	333	1035
73	338	1033
74	342	1027
75	348	1027
76	353	1023
77	357	1017
78	364	1018
79	368	1013
80	372	1008
81	378	1006
82	379	993
83	384	988
84	389	984
85	395	985
86	401	983
87	405	977
88	411	976
89	416	971
90	420	966
91	421	953
92	423	942
93	429	942
94	434	936
95	444	945
96	451	945
97	457	942
98	464	942
99	469	938
100	478	942
101	483	937
102	495	947
103	507	956
104	515	957
105	529	968
106	544	981
107	574	1021
108	589	1032
109	601	1039
110	615	1047
111	628	1055
112	640	1060
113	651	1062
114	671	1080
115	686	1089
116	695	1088
117	710	1096
118	715	1088
119	724	1087
120	732	1083
121	746	1088
122	763	1098
123	783	1111
124	802	1123
125	836	1155
126	857	1168
127	870	1169
128	889	1178
129	907	1186
130	920	1187
131	935	1190
132	947	1189
133	957	1186
134	971	1187
135	988	1191
136	992	1180
137	1011	1186
138	1020	1182
139	1035	1183
140	1049	1183
141	1061	1181
142	1070	1175
143	1077	1166
144	1083	1157
145	1088	1148
146	1112	1157
147	1126	1157
148	1147	1162
149	1152	1152
150	1159	1144
151	1168	1137
152	1176	1130
153	1183	1121
154	1191	1114
155	1198	1106
156	1203	1096
157	1211	1088
158	1217	1079
159	1222	1069
160	1229	1061
161	1233	1050
162	1240	1042
163	1246	1033
164	1251	1023
165	1257	1015
166	1264	1007
167	1266	995
168	1277	990
169	1285	983
170	1292	974
171	1298	966
172	1304	957
173	1311	949
174	1316	940
175	1322	931
176	1333	926
177	1345	922
178	1356	916
179	1364	909
180	1372	902
181	1382	896
182	1392	890
183	1404	885
184	1412	878
185	1420	870
186	1428	862
187	1437	856
188	1442	847
189	1448	838
190	1456	831
191	1463	823
192	1470	815
193	1473	805
194	1479	796
195	1491	791
196	1500	784
197	1509	777
198	1519	771
199	1527	763
200	1539	758
201	1546	750
202	1619	773
203	1692	796
204	1722	798
205	1730	789
206	1766	793
207	1777	785
208	1781	775
209	1790	767
210	1796	757
211	1803	748
212	1813	740
213	1823	732
214	1830	723
215	1841	716
216	1850	707
217	1856	698
218	1863	689
219	1872	680
220	1879	671
221	1887	663
222	1896	654
223	1904	646
224	1918	639
225	1927	631
226	1936	622
227	1951	616
228	1958	607
229	1965	598
230	1974	589
231	1985	581
232	1990	572
233	1999	564
234	2005	554
235	2009	544
236	2016	536
237	2021	526
238	2025	517
239	2032	508
240	2037	498
241	2042	489
242	2048	480
243	2053	471
244	2058	462
245	2058	451
246	2065	443
247	2069	433
248	2075	425
249	2082	416
250	2087	407
251	2092	398
252	2098	389
253	2102	380
254	2107	371
255	2113	363
256	2118	354
257	2122	345
258	2124	336
259	2129	327
260	2134	318
261	2140	310
262	2145	301
263	2150	293
264	2154	284
265	2159	276
266	2164	267
267	2168	258
268	2172	250
269	2177	241
270	2182	233
271	2184	224
272	2188	216
273	2193	208
274	2197	199
275	2201	191
276	2208	183
277	2214	175
278	2215	166
279	2220	158
280	2226	150
281	2232	142
282	2237	134
283	2246	126
284	2252	118
285	2260	110
286	2268	102
287	2281	95
288	2290	87
289	2298	79
290	2312	71
291	2326	63
292	2331	55
293	2332	47
294	2341	39
295	2347	31
296	2356	23
297	2362	15
298	2368	7
299	2372	0
