combo,model,status,missing_months,coverage_pct_inside_khulna,min_mm_year,p05_mm_year,median_mm_year,mean_mm_year,p95_mm_year,max_mm_year,annual_tif
Comb1,Random Forest,OK,,100.0,1198.5743408203125,1286.5355224609375,1479.8603515625,1485.8182373046875,1682.718017578125,1765.400390625,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb1_Random_Forest.tif
Comb1_land,Random Forest,OK,,100.0,1083.152099609375,1281.012939453125,1654.312744140625,1607.47021484375,1821.19482421875,1960.019775390625,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb1_land_Random_Forest.tif
Comb2_land,Random Forest,OK,,100.0,1112.1092529296875,1413.9925537109375,1775.578369140625,1746.4591064453125,2020.0673828125,2150.94189453125,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb2_land_Random_Forest.tif
Comb1,XGBoost,OK,,100.0,1132.6708984375,1253.2274169921875,1504.289306640625,1490.082275390625,1697.97705078125,1797.7952880859375,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb1_XGBoost.tif
Comb1_land,XGBoost,OK,,100.0,1025.8818359375,1394.671142578125,1690.437744140625,1676.88525390625,1941.2861328125,2126.17041015625,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb1_land_XGBoost.tif
Comb2_land,XGBoost,OK,,100.0,813.2247314453125,1424.49609375,1709.3349609375,1713.3309326171875,2060.068603515625,2540.220458984375,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb2_land_XGBoost.tif
Comb1,LightGBM,OK,,100.0,1057.5101318359375,1352.7088623046875,1590.1820068359375,1572.797607421875,1763.8001708984375,1997.68603515625,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb1_LightGBM.tif
Comb1_land,LightGBM,OK,,100.0,873.21630859375,1324.486328125,1740.078125,1730.770263671875,2048.38671875,2363.44873046875,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb1_land_LightGBM.tif
Comb2_land,LightGBM,OK,,100.0,869.2334594726562,1391.904052734375,1712.562744140625,1717.111083984375,2059.20703125,2373.57373046875,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb2_land_LightGBM.tif
Comb1,CatBoost,OK,,100.0,1262.0443115234375,1318.3734130859375,1468.3580322265625,1457.2462158203125,1577.8037109375,1672.3934326171875,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb1_CatBoost.tif
Comb1_land,CatBoost,OK,,100.0,1032.5203857421875,1324.82177734375,1669.162841796875,1681.4461669921875,2010.5604248046875,2221.645751953125,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb1_land_CatBoost.tif
Comb2_land,CatBoost,OK,,100.0,1070.458251953125,1470.106689453125,1799.54443359375,1797.524658203125,2183.942626953125,2458.802734375,E:\Geospatial\Precipitation-Downscaling-Khulna\Machine-Learning-Based-Precipitation-Downscaling-over-Khulna-District-Bangladesh\outputs\07_FINAL_ALL_OUTPUTS_FULL_COVER\annual_maps\annual_2022_Comb2_land_CatBoost.tif
