combo,model,month,feature,filled_pixels_inside_khulna
Comb1,Random Forest,1,CCS,817
Comb1,Random Forest,1,PDIR,817
Comb1,Random Forest,1,GSMaP_MVK,0
Comb1,Random Forest,1,CDR,4054
Comb1,Random Forest,1,CHIRPS,314
Comb1,Random Forest,1,IMERG,0
Comb1,Random Forest,1,GSMaP_Gauge,0
Comb1,Random Forest,1,ERA5,951
Comb1,Random Forest,2,CCS,817
Comb1,Random Forest,2,PDIR,817
Comb1,Random Forest,2,GSMaP_MVK,0
Comb1,Random Forest,2,CDR,4054
Comb1,Random Forest,2,CHIRPS,314
Comb1,Random Forest,2,IMERG,0
Comb1,Random Forest,2,GSMaP_Gauge,0
Comb1,Random Forest,2,ERA5,951
Comb1,Random Forest,3,CCS,817
Comb1,Random Forest,3,PDIR,817
Comb1,Random Forest,3,GSMaP_MVK,0
Comb1,Random Forest,3,CDR,4054
Comb1,Random Forest,3,CHIRPS,314
Comb1,Random Forest,3,IMERG,0
Comb1,Random Forest,3,GSMaP_Gauge,0
Comb1,Random Forest,3,ERA5,951
Comb1,Random Forest,4,CCS,817
Comb1,Random Forest,4,PDIR,817
Comb1,Random Forest,4,GSMaP_MVK,0
Comb1,Random Forest,4,CDR,4054
Comb1,Random Forest,4,CHIRPS,314
Comb1,Random Forest,4,IMERG,0
Comb1,Random Forest,4,GSMaP_Gauge,0
Comb1,Random Forest,4,ERA5,951
Comb1,Random Forest,5,CCS,817
Comb1,Random Forest,5,PDIR,817
Comb1,Random Forest,5,GSMaP_MVK,0
Comb1,Random Forest,5,CDR,4054
Comb1,Random Forest,5,CHIRPS,314
Comb1,Random Forest,5,IMERG,0
Comb1,Random Forest,5,GSMaP_Gauge,0
Comb1,Random Forest,5,ERA5,951
Comb1,Random Forest,6,CCS,817
Comb1,Random Forest,6,PDIR,817
Comb1,Random Forest,6,GSMaP_MVK,0
Comb1,Random Forest,6,CDR,4054
Comb1,Random Forest,6,CHIRPS,314
Comb1,Random Forest,6,IMERG,0
Comb1,Random Forest,6,GSMaP_Gauge,0
Comb1,Random Forest,6,ERA5,951
Comb1,Random Forest,7,CCS,817
Comb1,Random Forest,7,PDIR,817
Comb1,Random Forest,7,GSMaP_MVK,0
Comb1,Random Forest,7,CDR,4054
Comb1,Random Forest,7,CHIRPS,314
Comb1,Random Forest,7,IMERG,0
Comb1,Random Forest,7,GSMaP_Gauge,0
Comb1,Random Forest,7,ERA5,951
Comb1,Random Forest,8,CCS,817
Comb1,Random Forest,8,PDIR,817
Comb1,Random Forest,8,GSMaP_MVK,14199
Comb1,Random Forest,8,CDR,4054
Comb1,Random Forest,8,CHIRPS,314
Comb1,Random Forest,8,IMERG,0
Comb1,Random Forest,8,GSMaP_Gauge,0
Comb1,Random Forest,8,ERA5,951
Comb1,Random Forest,9,CCS,817
Comb1,Random Forest,9,PDIR,817
Comb1,Random Forest,9,GSMaP_MVK,0
Comb1,Random Forest,9,CDR,4054
Comb1,Random Forest,9,CHIRPS,314
Comb1,Random Forest,9,IMERG,0
Comb1,Random Forest,9,GSMaP_Gauge,0
Comb1,Random Forest,9,ERA5,951
Comb1,Random Forest,10,CCS,817
Comb1,Random Forest,10,PDIR,817
Comb1,Random Forest,10,GSMaP_MVK,0
Comb1,Random Forest,10,CDR,4054
Comb1,Random Forest,10,CHIRPS,314
Comb1,Random Forest,10,IMERG,0
Comb1,Random Forest,10,GSMaP_Gauge,0
Comb1,Random Forest,10,ERA5,951
Comb1,Random Forest,11,CCS,817
Comb1,Random Forest,11,PDIR,817
Comb1,Random Forest,11,GSMaP_MVK,0
Comb1,Random Forest,11,CDR,4054
Comb1,Random Forest,11,CHIRPS,314
Comb1,Random Forest,11,IMERG,0
Comb1,Random Forest,11,GSMaP_Gauge,0
Comb1,Random Forest,11,ERA5,951
Comb1,Random Forest,12,CCS,817
Comb1,Random Forest,12,PDIR,817
Comb1,Random Forest,12,GSMaP_MVK,0
Comb1,Random Forest,12,CDR,4054
Comb1,Random Forest,12,CHIRPS,314
Comb1,Random Forest,12,IMERG,0
Comb1,Random Forest,12,GSMaP_Gauge,0
Comb1,Random Forest,12,ERA5,951
Comb1,XGBoost,1,CCS,817
Comb1,XGBoost,1,PDIR,817
Comb1,XGBoost,1,GSMaP_MVK,0
Comb1,XGBoost,1,CDR,4054
Comb1,XGBoost,1,CHIRPS,314
Comb1,XGBoost,1,IMERG,0
Comb1,XGBoost,1,GSMaP_Gauge,0
Comb1,XGBoost,1,ERA5,951
Comb1,XGBoost,2,CCS,817
Comb1,XGBoost,2,PDIR,817
Comb1,XGBoost,2,GSMaP_MVK,0
Comb1,XGBoost,2,CDR,4054
Comb1,XGBoost,2,CHIRPS,314
Comb1,XGBoost,2,IMERG,0
Comb1,XGBoost,2,GSMaP_Gauge,0
Comb1,XGBoost,2,ERA5,951
Comb1,XGBoost,3,CCS,817
Comb1,XGBoost,3,PDIR,817
Comb1,XGBoost,3,GSMaP_MVK,0
Comb1,XGBoost,3,CDR,4054
Comb1,XGBoost,3,CHIRPS,314
Comb1,XGBoost,3,IMERG,0
Comb1,XGBoost,3,GSMaP_Gauge,0
Comb1,XGBoost,3,ERA5,951
Comb1,XGBoost,4,CCS,817
Comb1,XGBoost,4,PDIR,817
Comb1,XGBoost,4,GSMaP_MVK,0
Comb1,XGBoost,4,CDR,4054
Comb1,XGBoost,4,CHIRPS,314
Comb1,XGBoost,4,IMERG,0
Comb1,XGBoost,4,GSMaP_Gauge,0
Comb1,XGBoost,4,ERA5,951
Comb1,XGBoost,5,CCS,817
Comb1,XGBoost,5,PDIR,817
Comb1,XGBoost,5,GSMaP_MVK,0
Comb1,XGBoost,5,CDR,4054
Comb1,XGBoost,5,CHIRPS,314
Comb1,XGBoost,5,IMERG,0
Comb1,XGBoost,5,GSMaP_Gauge,0
Comb1,XGBoost,5,ERA5,951
Comb1,XGBoost,6,CCS,817
Comb1,XGBoost,6,PDIR,817
Comb1,XGBoost,6,GSMaP_MVK,0
Comb1,XGBoost,6,CDR,4054
Comb1,XGBoost,6,CHIRPS,314
Comb1,XGBoost,6,IMERG,0
Comb1,XGBoost,6,GSMaP_Gauge,0
Comb1,XGBoost,6,ERA5,951
Comb1,XGBoost,7,CCS,817
Comb1,XGBoost,7,PDIR,817
Comb1,XGBoost,7,GSMaP_MVK,0
Comb1,XGBoost,7,CDR,4054
Comb1,XGBoost,7,CHIRPS,314
Comb1,XGBoost,7,IMERG,0
Comb1,XGBoost,7,GSMaP_Gauge,0
Comb1,XGBoost,7,ERA5,951
Comb1,XGBoost,8,CCS,817
Comb1,XGBoost,8,PDIR,817
Comb1,XGBoost,8,GSMaP_MVK,14199
Comb1,XGBoost,8,CDR,4054
Comb1,XGBoost,8,CHIRPS,314
Comb1,XGBoost,8,IMERG,0
Comb1,XGBoost,8,GSMaP_Gauge,0
Comb1,XGBoost,8,ERA5,951
Comb1,XGBoost,9,CCS,817
Comb1,XGBoost,9,PDIR,817
Comb1,XGBoost,9,GSMaP_MVK,0
Comb1,XGBoost,9,CDR,4054
Comb1,XGBoost,9,CHIRPS,314
Comb1,XGBoost,9,IMERG,0
Comb1,XGBoost,9,GSMaP_Gauge,0
Comb1,XGBoost,9,ERA5,951
Comb1,XGBoost,10,CCS,817
Comb1,XGBoost,10,PDIR,817
Comb1,XGBoost,10,GSMaP_MVK,0
Comb1,XGBoost,10,CDR,4054
Comb1,XGBoost,10,CHIRPS,314
Comb1,XGBoost,10,IMERG,0
Comb1,XGBoost,10,GSMaP_Gauge,0
Comb1,XGBoost,10,ERA5,951
Comb1,XGBoost,11,CCS,817
Comb1,XGBoost,11,PDIR,817
Comb1,XGBoost,11,GSMaP_MVK,0
Comb1,XGBoost,11,CDR,4054
Comb1,XGBoost,11,CHIRPS,314
Comb1,XGBoost,11,IMERG,0
Comb1,XGBoost,11,GSMaP_Gauge,0
Comb1,XGBoost,11,ERA5,951
Comb1,XGBoost,12,CCS,817
Comb1,XGBoost,12,PDIR,817
Comb1,XGBoost,12,GSMaP_MVK,0
Comb1,XGBoost,12,CDR,4054
Comb1,XGBoost,12,CHIRPS,314
Comb1,XGBoost,12,IMERG,0
Comb1,XGBoost,12,GSMaP_Gauge,0
Comb1,XGBoost,12,ERA5,951
Comb1,LightGBM,1,CCS,817
Comb1,LightGBM,1,PDIR,817
Comb1,LightGBM,1,GSMaP_MVK,0
Comb1,LightGBM,1,CDR,4054
Comb1,LightGBM,1,CHIRPS,314
Comb1,LightGBM,1,IMERG,0
Comb1,LightGBM,1,GSMaP_Gauge,0
Comb1,LightGBM,1,ERA5,951
Comb1,LightGBM,2,CCS,817
Comb1,LightGBM,2,PDIR,817
Comb1,LightGBM,2,GSMaP_MVK,0
Comb1,LightGBM,2,CDR,4054
Comb1,LightGBM,2,CHIRPS,314
Comb1,LightGBM,2,IMERG,0
Comb1,LightGBM,2,GSMaP_Gauge,0
Comb1,LightGBM,2,ERA5,951
Comb1,LightGBM,3,CCS,817
Comb1,LightGBM,3,PDIR,817
Comb1,LightGBM,3,GSMaP_MVK,0
Comb1,LightGBM,3,CDR,4054
Comb1,LightGBM,3,CHIRPS,314
Comb1,LightGBM,3,IMERG,0
Comb1,LightGBM,3,GSMaP_Gauge,0
Comb1,LightGBM,3,ERA5,951
Comb1,LightGBM,4,CCS,817
Comb1,LightGBM,4,PDIR,817
Comb1,LightGBM,4,GSMaP_MVK,0
Comb1,LightGBM,4,CDR,4054
Comb1,LightGBM,4,CHIRPS,314
Comb1,LightGBM,4,IMERG,0
Comb1,LightGBM,4,GSMaP_Gauge,0
Comb1,LightGBM,4,ERA5,951
Comb1,LightGBM,5,CCS,817
Comb1,LightGBM,5,PDIR,817
Comb1,LightGBM,5,GSMaP_MVK,0
Comb1,LightGBM,5,CDR,4054
Comb1,LightGBM,5,CHIRPS,314
