Input,Model,Validation_MAE,Validation_RMSE,Validation_PCC,Validation_R2,MAE,RMSE,PCC,R2,N_train,N_valid,N_train_valid,N_test,BestParams
CCS_land,CatBoost,41.83866319979452,61.45002291681934,0.8710520945711142,0.7097527584084276,62.290486310674225,94.67805274991065,0.7024550763130476,0.4635191963676747,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
CDR_land,Random Forest,49.86522756882719,71.31428603149487,0.85891900832324,0.6090897304621734,58.508054219343414,95.9500793896192,0.6926018287166363,0.44900681269827536,273,65,338,67,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
CHIRPS_land,Random Forest,49.112779467316315,75.23612377391565,0.8436289526378178,0.5649122786743268,56.380986560592554,88.94761052205571,0.751165354115369,0.5264954857844213,273,65,338,67,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb1,CatBoost,68.41857560151146,91.37101628943523,0.8326645969038631,0.5181283131126535,64.78759689280966,98.07699801955046,0.6893767697895449,0.4055860544915283,276,69,345,69,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.08}"
Comb1_land,CatBoost,58.650563824440965,82.70980820110591,0.8648546670995808,0.44388482110099636,53.274838950054914,85.97886131947632,0.7557771830493767,0.5070187459755553,262,63,325,64,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
Comb2,Random Forest,75.78245906401983,109.11535232101322,0.7976425136142082,0.3496942159578318,67.78779152954816,96.01773534970515,0.7502456896146893,0.4736885145695823,288,72,360,72,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb2_land,Random Forest,60.90131757756491,87.0482873637014,0.8391735232290263,0.4175690237063262,57.475113375430546,89.17663747904362,0.7689698020036645,0.5240539381658968,273,65,338,67,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb3,CatBoost,61.767048098297536,79.24378771158696,0.819012651063865,0.6570140343049378,67.20407867535927,97.83572403451218,0.7087198691048016,0.4535695946628461,288,72,360,72,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
Comb3_land,CatBoost,41.632498558486716,59.03405848114845,0.8775708412524464,0.7321267881190416,59.29820627088183,90.21757472638144,0.7328491531150578,0.5128778832134875,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
ERA5_land,Random Forest,54.55860564906604,75.21135441965632,0.7946211786333872,0.5651987120358173,51.8307446378939,84.9196748618489,0.7701420210211366,0.5684091809542076,273,65,338,67,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
GSMaP_Gauge_land,CatBoost,44.27603699336208,63.44223864666658,0.8660690847419715,0.6906280026534662,56.38069916242656,90.05792062779672,0.7858549572395385,0.5146004351372045,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
GSMaP_MVK_land,CatBoost,41.52358274923778,58.29266121782982,0.860716210537813,0.7237651385451203,56.69211040481379,98.65917326896486,0.6459853425027933,0.3508845132774925,262,63,325,64,"{""depth"": 5, ""iterations"": 300, ""learning_rate"": 0.03}"
IMERG_land,Random Forest,65.08931096977098,103.10830571951486,0.7818844964309529,0.18283208969221776,55.41146016217061,85.6870190226477,0.7586566690131002,0.5605741302385333,273,65,338,67,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
PDIR_land,CatBoost,39.62454293512446,55.50842623634577,0.890413325996457,0.7631672097666257,58.984797584950535,91.16515590105739,0.7298587997800559,0.5025913765415945,273,65,338,67,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.03}"
