combination,features
Comb1,"CCS, PDIR, GSMaP_MVK, CDR, CHIRPS, IMERG, GSMaP_Gauge, ERA5"
Comb1_land,"CCS, PDIR, GSMaP_MVK, CDR, CHIRPS, IMERG, GSMaP_Gauge, ERA5, DEM, NDVI, LST_Day, Distance_Sea"
Comb2,"CHIRPS, CDR, ERA5"
Comb2_land,"CHIRPS, CDR, ERA5, DEM, NDVI, LST_Day, Distance_Sea"
Comb3,"CCS, PDIR"
Comb3_land,"CCS, PDIR, DEM, NDVI, LST_Day, Distance_Sea"
CCS_land,"CCS, DEM, NDVI, LST_Day, Distance_Sea"
PDIR_land,"PDIR, DEM, NDVI, LST_Day, Distance_Sea"
GSMaP_MVK_land,"GSMaP_MVK, DEM, NDVI, LST_Day, Distance_Sea"
CDR_land,"CDR, DEM, NDVI, LST_Day, Distance_Sea"
CHIRPS_land,"CHIRPS, DEM, NDVI, LST_Day, Distance_Sea"
IMERG_land,"IMERG, DEM, NDVI, LST_Day, Distance_Sea"
GSMaP_Gauge_land,"GSMaP_Gauge, DEM, NDVI, LST_Day, Distance_Sea"
ERA5_land,"ERA5, DEM, NDVI, LST_Day, Distance_Sea"
