combination,model,status,reason,seam_flag
Comb1,Random_Forest,SKIPPED,0/12 monthly maps,False
Comb1,XGBoost,SKIPPED,0/12 monthly maps,False
Comb1,LightGBM,SKIPPED,0/12 monthly maps,False
Comb1,CatBoost,SKIPPED,0/12 monthly maps,False
Comb1_land,Random_Forest,SKIPPED,0/12 monthly maps,False
Comb1_land,XGBoost,SKIPPED,0/12 monthly maps,False
Comb1_land,LightGBM,SKIPPED,0/12 monthly maps,False
Comb1_land,CatBoost,SKIPPED,0/12 monthly maps,False
Comb2,Random_Forest,SKIPPED,0/12 monthly maps,False
Comb2,XGBoost,SKIPPED,0/12 monthly maps,False
Comb2,LightGBM,SKIPPED,0/12 monthly maps,False
Comb2,CatBoost,SKIPPED,0/12 monthly maps,False
Comb2_land,Random_Forest,SKIPPED,0/12 monthly maps,False
Comb2_land,XGBoost,SKIPPED,0/12 monthly maps,False
Comb2_land,LightGBM,SKIPPED,0/12 monthly maps,False
Comb2_land,CatBoost,SKIPPED,0/12 monthly maps,False
Comb3,Random_Forest,SKIPPED,0/12 monthly maps,False
Comb3,XGBoost,SKIPPED,0/12 monthly maps,False
Comb3,LightGBM,SKIPPED,0/12 monthly maps,False
Comb3,CatBoost,SKIPPED,0/12 monthly maps,False
Comb3_land,Random_Forest,SKIPPED,0/12 monthly maps,False
Comb3_land,XGBoost,SKIPPED,0/12 monthly maps,False
Comb3_land,LightGBM,SKIPPED,0/12 monthly maps,False
Comb3_land,CatBoost,SKIPPED,0/12 monthly maps,False
CCS_land,Random_Forest,SKIPPED,0/12 monthly maps,False
CCS_land,XGBoost,SKIPPED,0/12 monthly maps,False
CCS_land,LightGBM,SKIPPED,0/12 monthly maps,False
CCS_land,CatBoost,SKIPPED,0/12 monthly maps,False
CDR_land,Random_Forest,SKIPPED,0/12 monthly maps,False
CDR_land,XGBoost,SKIPPED,0/12 monthly maps,False
CDR_land,LightGBM,SKIPPED,0/12 monthly maps,False
CDR_land,CatBoost,SKIPPED,0/12 monthly maps,False
CHIRPS_land,Random_Forest,SKIPPED,0/12 monthly maps,False
CHIRPS_land,XGBoost,SKIPPED,0/12 monthly maps,False
CHIRPS_land,LightGBM,SKIPPED,0/12 monthly maps,False
CHIRPS_land,CatBoost,SKIPPED,0/12 monthly maps,False
ERA5_land,Random_Forest,SKIPPED,0/12 monthly maps,False
ERA5_land,XGBoost,SKIPPED,0/12 monthly maps,False
ERA5_land,LightGBM,SKIPPED,0/12 monthly maps,False
ERA5_land,CatBoost,SKIPPED,0/12 monthly maps,False
GSMAP_GAUGE_land,Random_Forest,SKIPPED,0/12 monthly maps,False
GSMAP_GAUGE_land,XGBoost,SKIPPED,0/12 monthly maps,False
GSMAP_GAUGE_land,LightGBM,SKIPPED,0/12 monthly maps,False
GSMAP_GAUGE_land,CatBoost,SKIPPED,0/12 monthly maps,False
GSMAP_MVK_land,Random_Forest,SKIPPED,0/12 monthly maps,False
GSMAP_MVK_land,XGBoost,SKIPPED,0/12 monthly maps,False
GSMAP_MVK_land,LightGBM,SKIPPED,0/12 monthly maps,False
GSMAP_MVK_land,CatBoost,SKIPPED,0/12 monthly maps,False
IMERG_land,Random_Forest,SKIPPED,0/12 monthly maps,False
IMERG_land,XGBoost,SKIPPED,0/12 monthly maps,False
IMERG_land,LightGBM,SKIPPED,0/12 monthly maps,False
IMERG_land,CatBoost,SKIPPED,0/12 monthly maps,False
PDIR_land,Random_Forest,SKIPPED,0/12 monthly maps,False
PDIR_land,XGBoost,SKIPPED,0/12 monthly maps,False
PDIR_land,LightGBM,SKIPPED,0/12 monthly maps,False
PDIR_land,CatBoost,SKIPPED,0/12 monthly maps,False
PERSIANN_land,Random_Forest,SKIPPED,0/12 monthly maps,False
PERSIANN_land,XGBoost,SKIPPED,0/12 monthly maps,False
PERSIANN_land,LightGBM,SKIPPED,0/12 monthly maps,False
PERSIANN_land,CatBoost,SKIPPED,0/12 monthly maps,False
