Model,Random Forest,Random Forest,Random Forest,XGBoost,XGBoost,XGBoost,LightGBM,LightGBM,LightGBM,CatBoost,CatBoost,CatBoost
Metric,MAE,RMSE,PCC,MAE,RMSE,PCC,MAE,RMSE,PCC,MAE,RMSE,PCC
Input,,,,,,,,,,,,
CCS_land,61.91,98.12,0.709,75.32,115.32,0.591,68.93,103.5,0.667,74.04,105.95,0.638
CDR_land,61.92,95.2,0.715,88.64,135.32,0.545,71.29,110.26,0.653,70.39,105.6,0.662
CHIRPS_land,59.06,91.37,0.743,69.72,104.64,0.675,66.42,102.51,0.687,58.0,92.16,0.751
Comb1,67.76,93.57,0.735,68.1,92.23,0.748,68.9,98.01,0.712,65.53,88.09,0.765
Comb1_land,62.82,90.39,0.756,60.86,90.41,0.757,66.0,97.05,0.709,56.81,84.22,0.805
Comb2,65.48,93.71,0.749,62.67,91.63,0.769,68.78,100.48,0.717,63.98,93.49,0.753
Comb2_land,55.8,88.63,0.77,63.55,95.44,0.733,63.16,92.11,0.747,54.53,87.82,0.77
Comb3,77.55,106.48,0.622,82.69,111.49,0.603,80.58,107.74,0.638,77.04,102.13,0.659
Comb3_land,63.55,97.35,0.708,73.85,106.82,0.638,75.0,107.18,0.657,70.25,102.4,0.664
ERA5_land,56.72,85.24,0.768,65.76,94.84,0.711,62.28,97.88,0.695,56.75,84.13,0.776
GSMAP_GAUGE_land,57.92,91.11,0.764,62.14,95.51,0.764,64.41,98.85,0.736,61.03,95.91,0.749
GSMAP_MVK_land,58.86,99.54,0.706,76.65,118.38,0.554,69.73,113.94,0.605,63.79,101.42,0.681
IMERG_land,56.78,87.15,0.764,66.53,97.49,0.707,70.69,106.29,0.651,59.88,89.73,0.761
PDIR_land,63.15,91.27,0.729,74.55,108.02,0.638,69.28,102.56,0.681,68.46,97.26,0.697
PERSIANN_land,70.15,111.76,0.607,81.57,128.41,0.498,78.14,122.01,0.551,74.54,111.92,0.617
