combination,features
Comb1,"CCS, CDR, CHIRPS, ERA5, GSMAP_GAUGE, GSMAP_MVK, IMERG, PDIR, PERSIANN"
Comb1_land,"CCS, CDR, CHIRPS, ERA5, GSMAP_GAUGE, GSMAP_MVK, IMERG, PDIR, PERSIANN, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
Comb2,"CHIRPS, CDR, PERSIANN, ERA5"
Comb2_land,"CHIRPS, CDR, PERSIANN, ERA5, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
Comb3,"CCS, PDIR"
Comb3_land,"CCS, PDIR, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
CCS_land,"CCS, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
CDR_land,"CDR, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
CHIRPS_land,"CHIRPS, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
ERA5_land,"ERA5, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
GSMAP_GAUGE_land,"GSMAP_GAUGE, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
GSMAP_MVK_land,"GSMAP_MVK, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
IMERG_land,"IMERG, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
PDIR_land,"PDIR, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
PERSIANN_land,"PERSIANN, DEM, SLOPE, ASPECT, DISTANCE_SEA, NDVI, LST_DAY"
