Input,Model,MAE,RMSE,PCC,BestParams
Comb1,Random Forest,67.7638066821296,93.56641582937911,0.7348915036226005,"{""max_depth"": 15, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb1,XGBoost,68.09762834542327,92.23280600551755,0.7477222165226768,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}"
Comb1,LightGBM,68.90344781974437,98.01070981633116,0.712042314355544,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb1,CatBoost,65.53248323616873,88.0870495963557,0.7647010513042237,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.1}"
Comb1_land,Random Forest,62.82331287251845,90.38879584147834,0.7558584281396823,"{""max_depth"": 15, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb1_land,XGBoost,60.86449029048284,90.41409922383221,0.7571625167014149,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Comb1_land,LightGBM,65.999516043478,97.04719973771711,0.7089693108402002,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb1_land,CatBoost,56.80515408148269,84.22348356308864,0.8053411839024808,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.05}"
Comb2,Random Forest,65.47680896003011,93.70932218782484,0.749455204758569,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb2,XGBoost,62.67226666212082,91.62663990164273,0.7690141034575496,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Comb2,LightGBM,68.77570162339222,100.47547037305803,0.7174183064616543,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb2,CatBoost,63.97801858086528,93.49098786848144,0.7529574003462514,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.05}"
Comb2_land,Random Forest,55.79926851851852,88.63329781598814,0.769761674916392,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
Comb2_land,XGBoost,63.55476341644923,95.44169330479889,0.7331574280897627,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Comb2_land,LightGBM,63.156244109608025,92.11451956478729,0.7473814664432719,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb2_land,CatBoost,54.52823354062745,87.82276220760322,0.7699976784282443,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.05}"
Comb3,Random Forest,77.54559481434823,106.47909847973582,0.6215690891466702,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb3,XGBoost,82.69218616750504,111.48913370210502,0.6034007185502569,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Comb3,LightGBM,80.57941258323773,107.73659686784305,0.6376211521382911,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb3,CatBoost,77.03759096422696,102.12926008338802,0.6589120577757361,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.05}"
Comb3_land,Random Forest,63.54514624518999,97.35023118551952,0.7084179345202853,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
Comb3_land,XGBoost,73.84503331846662,106.81682174190097,0.6384302904493043,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Comb3_land,LightGBM,75.00110666153525,107.18105826923363,0.6569589163421828,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
Comb3_land,CatBoost,70.25103710541308,102.39950042865699,0.6639448450617625,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.05}"
CCS_land,Random Forest,61.911055792548495,98.12194314859033,0.709017325120458,"{""max_depth"": 15, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
CCS_land,XGBoost,75.31866417593426,115.3227032643629,0.5905433375519572,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
CCS_land,LightGBM,68.93357919637593,103.49934228023906,0.6665828042365236,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
CCS_land,CatBoost,74.0377020618126,105.94719883912565,0.6375733553741083,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.05}"
CDR_land,Random Forest,61.9184232719069,95.2013661142703,0.7154374325672633,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
CDR_land,XGBoost,88.63707782692379,135.31736023117298,0.5445761933456129,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
CDR_land,LightGBM,71.2878359257559,110.25962090453935,0.6528512547890576,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
CDR_land,CatBoost,70.38611167066266,105.5967000569347,0.6618099197895693,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.05}"
CHIRPS_land,Random Forest,59.06315581277008,91.37276200062392,0.7428313821560334,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
CHIRPS_land,XGBoost,69.72037589351336,104.63634999275564,0.6746077976655285,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
CHIRPS_land,LightGBM,66.41654362136997,102.51425274054509,0.6865146847463768,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
CHIRPS_land,CatBoost,57.99532928996166,92.15768377746821,0.7514536919541488,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.05}"
ERA5_land,Random Forest,56.71754157341607,85.24315715716106,0.7683613890033625,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
ERA5_land,XGBoost,65.75834551122453,94.84255253684525,0.7109529592279817,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
ERA5_land,LightGBM,62.27872476189671,97.88309324287731,0.6948464172245035,"{""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15}"
ERA5_land,CatBoost,56.754988163343846,84.13444851485325,0.7764601294792294,"{""depth"": 7, ""iterations"": 300, ""learning_rate"": 0.05}"
