combo,model,status,missing_months
Comb1,Random Forest,OK,
Comb1,XGBoost,OK,
Comb1,LightGBM,OK,
Comb1,CatBoost,OK,
Comb1_land,Random Forest,OK,
Comb1_land,XGBoost,OK,
Comb1_land,LightGBM,OK,
Comb1_land,CatBoost,OK,
Comb2,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
Comb2,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
Comb2,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
Comb2,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
Comb2_land,Random Forest,OK,
Comb2_land,XGBoost,OK,
Comb2_land,LightGBM,OK,
Comb2_land,CatBoost,OK,
Comb3,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
Comb3,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
Comb3,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
Comb3,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
Comb3_land,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
Comb3_land,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
Comb3_land,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
Comb3_land,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CCS_land,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CCS_land,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CCS_land,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CCS_land,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CDR_land,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CDR_land,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CDR_land,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CDR_land,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CHIRPS_land,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CHIRPS_land,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CHIRPS_land,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
CHIRPS_land,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
ERA5_land,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
ERA5_land,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
ERA5_land,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
ERA5_land,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
GSMAP_GAUGE_land,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
GSMAP_GAUGE_land,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
GSMAP_GAUGE_land,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
GSMAP_GAUGE_land,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
GSMAP_MVK_land,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
GSMAP_MVK_land,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
GSMAP_MVK_land,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
GSMAP_MVK_land,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
IMERG_land,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
IMERG_land,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
IMERG_land,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
IMERG_land,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
PDIR_land,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
PDIR_land,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
PDIR_land,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
PDIR_land,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
PERSIANN_land,Random Forest,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
PERSIANN_land,XGBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
PERSIANN_land,LightGBM,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
PERSIANN_land,CatBoost,SKIP,"1,2,3,4,5,6,7,8,9,10,11,12"
