combo,model,month,status,reason
Comb1,Random Forest,1,OK,
Comb1,Random Forest,2,OK,
Comb1,Random Forest,3,OK,
Comb1,Random Forest,4,OK,
Comb1,Random Forest,5,OK,
Comb1,Random Forest,6,OK,
Comb1,Random Forest,7,OK,
Comb1,Random Forest,8,OK,
Comb1,Random Forest,9,OK,
Comb1,Random Forest,10,OK,
Comb1,Random Forest,11,OK,
Comb1,Random Forest,12,OK,
Comb1,XGBoost,1,OK,
Comb1,XGBoost,2,OK,
Comb1,XGBoost,3,OK,
Comb1,XGBoost,4,OK,
Comb1,XGBoost,5,OK,
Comb1,XGBoost,6,OK,
Comb1,XGBoost,7,OK,
Comb1,XGBoost,8,OK,
Comb1,XGBoost,9,OK,
Comb1,XGBoost,10,OK,
Comb1,XGBoost,11,OK,
Comb1,XGBoost,12,OK,
Comb1,LightGBM,1,OK,
Comb1,LightGBM,2,OK,
Comb1,LightGBM,3,OK,
Comb1,LightGBM,4,OK,
Comb1,LightGBM,5,OK,
Comb1,LightGBM,6,OK,
Comb1,LightGBM,7,OK,
Comb1,LightGBM,8,OK,
Comb1,LightGBM,9,OK,
Comb1,LightGBM,10,OK,
Comb1,LightGBM,11,OK,
Comb1,LightGBM,12,OK,
Comb1,CatBoost,1,OK,
Comb1,CatBoost,2,OK,
Comb1,CatBoost,3,OK,
Comb1,CatBoost,4,OK,
Comb1,CatBoost,5,OK,
Comb1,CatBoost,6,OK,
Comb1,CatBoost,7,OK,
Comb1,CatBoost,8,OK,
Comb1,CatBoost,9,OK,
Comb1,CatBoost,10,OK,
Comb1,CatBoost,11,OK,
Comb1,CatBoost,12,OK,
Comb1_land,Random Forest,1,OK,
Comb1_land,Random Forest,2,OK,
Comb1_land,Random Forest,3,OK,
Comb1_land,Random Forest,4,OK,
Comb1_land,Random Forest,5,OK,
Comb1_land,Random Forest,6,OK,
Comb1_land,Random Forest,7,OK,
Comb1_land,Random Forest,8,OK,
Comb1_land,Random Forest,9,OK,
Comb1_land,Random Forest,10,OK,
Comb1_land,Random Forest,11,OK,
Comb1_land,Random Forest,12,OK,
Comb1_land,XGBoost,1,OK,
Comb1_land,XGBoost,2,OK,
Comb1_land,XGBoost,3,OK,
Comb1_land,XGBoost,4,OK,
Comb1_land,XGBoost,5,OK,
Comb1_land,XGBoost,6,OK,
Comb1_land,XGBoost,7,OK,
Comb1_land,XGBoost,8,OK,
Comb1_land,XGBoost,9,OK,
Comb1_land,XGBoost,10,OK,
Comb1_land,XGBoost,11,OK,
Comb1_land,XGBoost,12,OK,
Comb1_land,LightGBM,1,OK,
Comb1_land,LightGBM,2,OK,
Comb1_land,LightGBM,3,OK,
Comb1_land,LightGBM,4,OK,
Comb1_land,LightGBM,5,OK,
Comb1_land,LightGBM,6,OK,
Comb1_land,LightGBM,7,OK,
Comb1_land,LightGBM,8,OK,
Comb1_land,LightGBM,9,OK,
Comb1_land,LightGBM,10,OK,
Comb1_land,LightGBM,11,OK,
Comb1_land,LightGBM,12,OK,
Comb1_land,CatBoost,1,OK,
Comb1_land,CatBoost,2,OK,
Comb1_land,CatBoost,3,OK,
Comb1_land,CatBoost,4,OK,
Comb1_land,CatBoost,5,OK,
Comb1_land,CatBoost,6,OK,
Comb1_land,CatBoost,7,OK,
Comb1_land,CatBoost,8,OK,
Comb1_land,CatBoost,9,OK,
Comb1_land,CatBoost,10,OK,
Comb1_land,CatBoost,11,OK,
Comb1_land,CatBoost,12,OK,
Comb2_land,Random Forest,1,OK,
Comb2_land,Random Forest,2,OK,
Comb2_land,Random Forest,3,OK,
Comb2_land,Random Forest,4,OK,
Comb2_land,Random Forest,5,OK,
Comb2_land,Random Forest,6,OK,
Comb2_land,Random Forest,7,OK,
Comb2_land,Random Forest,8,OK,
Comb2_land,Random Forest,9,OK,
Comb2_land,Random Forest,10,OK,
Comb2_land,Random Forest,11,OK,
Comb2_land,Random Forest,12,OK,
Comb2_land,XGBoost,1,OK,
Comb2_land,XGBoost,2,OK,
Comb2_land,XGBoost,3,OK,
Comb2_land,XGBoost,4,OK,
Comb2_land,XGBoost,5,OK,
Comb2_land,XGBoost,6,OK,
Comb2_land,XGBoost,7,OK,
Comb2_land,XGBoost,8,OK,
Comb2_land,XGBoost,9,OK,
Comb2_land,XGBoost,10,OK,
Comb2_land,XGBoost,11,OK,
Comb2_land,XGBoost,12,OK,
Comb2_land,LightGBM,1,OK,
Comb2_land,LightGBM,2,OK,
Comb2_land,LightGBM,3,OK,
Comb2_land,LightGBM,4,OK,
Comb2_land,LightGBM,5,OK,
Comb2_land,LightGBM,6,OK,
Comb2_land,LightGBM,7,OK,
Comb2_land,LightGBM,8,OK,
Comb2_land,LightGBM,9,OK,
Comb2_land,LightGBM,10,OK,
Comb2_land,LightGBM,11,OK,
Comb2_land,LightGBM,12,OK,
Comb2_land,CatBoost,1,OK,
Comb2_land,CatBoost,2,OK,
Comb2_land,CatBoost,3,OK,
Comb2_land,CatBoost,4,OK,
Comb2_land,CatBoost,5,OK,
Comb2_land,CatBoost,6,OK,
Comb2_land,CatBoost,7,OK,
Comb2_land,CatBoost,8,OK,
Comb2_land,CatBoost,9,OK,
Comb2_land,CatBoost,10,OK,
Comb2_land,CatBoost,11,OK,
Comb2_land,CatBoost,12,OK,
