Input,Model,MAE,RMSE,PCC,N_test,Rank_within_Input
CCS_land,LightGBM,63.61738748030305,92.39931717186795,0.7398872811153963,72,1
CDR_land,Random Forest,59.95964363567945,95.6634910173947,0.7108919386749323,72,1
CHIRPS_land,CatBoost,54.961705753093334,85.91926663368771,0.7851140806241986,72,1
Comb1,CatBoost,65.31941304119415,94.5048457278502,0.7315296530523532,72,1
Comb1_land,CatBoost,59.02931576799897,87.98362081552462,0.7800271510087192,72,1
Comb2,Random Forest,66.21579166666669,94.5517128987843,0.7409610892200579,72,1
Comb2_land,CatBoost,55.86272086328265,87.88339636436179,0.775773042813813,72,1
Comb3,Random Forest,63.91269816172691,93.03443808885204,0.7348578065370176,72,1
Comb3_land,Random Forest,58.51273585232283,88.49112506438294,0.7564370147452631,72,1
ERA5_land,Random Forest,56.18186895615112,88.20843031574282,0.7750427597739432,72,1
GSMAP_GAUGE_land,XGBoost,61.46808136718141,93.66651894288871,0.7790321109936919,72,1
GSMAP_MVK_land,CatBoost,69.97883119201833,106.23686122438447,0.6598607530432709,72,1
IMERG_land,Random Forest,58.52558778172675,88.6794513705492,0.7563588299320821,72,1
PDIR_land,CatBoost,63.481911457867696,94.21699513759619,0.7301898546759918,72,1
PERSIANN_land,CatBoost,68.32752735060143,109.80236206416598,0.6275893053381574,72,1
